name,address,phone,url,category
"Hälsocentralen Kramfors","Bruksgatan 12-14","0612-860 42","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Kramfors/","vardcentral"
"Hälsocentralen Nyland","Biskopsgatan 1, Nyland","0612-77 15 35","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Nyland/","vardcentral"
"Hälsocentralen Liden","Husåsvägen 18, Liden","0692-439 20","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Liden/","vardcentral"
"Hälsocentralen Sollefteå","Lasarettsgatan 1","0620-194 50","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Solleftea/","vardcentral"
"Primärvårdsjour Sollefteå Kramfors","Akutmottagningen, Sollefteå sjukhus","0611-800 00","https://www.1177.se/hitta-vard/kontaktkort/Primarvardsjour-Solleftea-Kramfors/","vardcentral"
"Hälsocentralen Södra sundet","Södra Vägen 5","0611-87 07 10","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Sodra-sundet/","vardcentral"
"Primärvårdsjour Härnösand, Närvården Härnösand","Hälsocentralen Södra Sundet","0611-800 00","https://www.1177.se/hitta-vard/kontaktkort/Primarvardsjour-Harnosand-Narvarden-Harnosand/","vardcentral"
"Hälsocentralen Höga Kusten, Ullånger","Vårdhemsvägen 2, Ullånger","0613-71 11 01","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Hoga-Kusten-Ullanger/","vardcentral"
"Hälsocentralen Premicare Ljustadalen","Söndagsvägen 4, 863 34 Sundsbruk","060-607 95 00","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Premicare-Ljustadalen/","vardcentral"
"Doktor.se Alnö Vårdcentral","Raholmsvägen 24, 865 31 Alnö","060-740 48 00","https://www.1177.se/hitta-vard/kontaktkort/Doktorse-Alno-Vardcentral/","vardcentral"
"Hälsocentralen Granlo","Västra vägen 50, Sundsvall","060-18 49 51","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Granlo/","vardcentral"
"Primärvårdsrehab, Sundsvall","Medborgargatan 30 D, Sundsvall","060-13 52 25","https://www.1177.se/hitta-vard/kontaktkort/Primarvardsrehab-Sundsvall/","vardcentral"
"Hälsocentralen Gilleberget","Medborgargatan 30 D, 856 30 Sundsvall","060-13 54 12","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Gilleberget/","vardcentral"
"Primärvårdsjour Sundsvall","Norrmalmsgatan 2, Hälsocentralen Centrum","060-18 10 00","https://www.1177.se/hitta-vard/kontaktkort/Primarvardsjour-Sundsvall/","vardcentral"
"Hälsocentralen Centrum","Norrmalmsgatan 2, 852 34 Sundsvall","060-18 24 10","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Centrum/","vardcentral"
"St Olof Vårdcentral, Sundsvall","Axvägen 6","060-750 14 40","https://www.1177.se/hitta-vard/kontaktkort/St-Olof-Vardcentral-Sundsvall/","vardcentral"
"Doktor.se Sundsvall Vårdcentral","Skiftesvägen 1 854 63 Sundsvall","060-658 12 10","https://www.1177.se/hitta-vard/kontaktkort/Doktorse-Sundsvall-Vardcentral/","vardcentral"
"Vårdcentralen Sidsjö, Sundsvall","Paviljongvägen 15 B","060-750 20 30","https://www.1177.se/hitta-vard/kontaktkort/Vardcentralen-Sidsjo-Sundsvall/","vardcentral"
"Hammarstrands hälsocentral","Bölevägen 5, 844 32 Hammarstrand","0696-68 25 02","https://www.1177.se/hitta-vard/kontaktkort/Hammarstrands-halsocentral/","vardcentral"
"Hälsocentralen Matfors","Skölevägen 19","060-14 98 10","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Matfors/","vardcentral"
"Doktor.se Njurunda Vårdcentral","Affärsgatan 1","060-51 53 00","https://www.1177.se/hitta-vard/kontaktkort/Doktorse-Njurunda-Vardcentral/","vardcentral"
"Hälsocentralen Stöde","Gyllenvägen 6, 864 41 Stöde","0691-25 10 70","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Stode/","vardcentral"
"Kälarne hälsocentral","Tallgläntan 1 D, 844 61 Kälarne","0696-166 60","https://www.1177.se/hitta-vard/kontaktkort/Kalarne-halsocentral/","vardcentral"
"Hälsocentralen Bjästa","Harmonivägen 1","0660-899 53","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Bjasta/","vardcentral"
"Vårdcentralen Fränsta","Mårtensvägen 2, 841 71 Fränsta","0691-25 10 10","https://www.1177.se/hitta-vard/kontaktkort/Vardcentralen-Fransta/","vardcentral"
"Hälsocentralen Bredbyn","Olympiavägen 8, 895 30 Bredbyn","0661-65 41 01","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Bredbyn/","vardcentral"
"Hälsocentralen Själevad","Sjukhemsvägen 2 B","0660-575 60","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Sjalevad/","vardcentral"
"Hälsocentralen Domsjö","Sundsvägen 11, 892 32 Domsjö","0660-29 26 20","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Domsjo/","vardcentral"
"Hälsocentralen Ankaret","Sjukhusgatan 5 B, Örnsköldsvik","0660-29 27 10","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Ankaret/","vardcentral"
"Primärvårdsjour Örnsköldsvik","Örnsköldsviks sjukhus, Sjukhusgatan 8, 891 35 Örnsköldsvik","0660-890 00","https://www.1177.se/hitta-vard/kontaktkort/Primarvardsjour-Ornskoldsvik/","vardcentral"
"BVC Premicare Gullänget Hälsocentral","Älgvägen 17, 891 43 Örnsköldsvik","0660-559 00","https://www.1177.se/hitta-vard/kontaktkort/BVC-Premicare-Gullanget-Halsocentral/","vardcentral"
"Premicare Gullänget Hälsocentral, Örnsköldsvik","Älgvägen 17, 891 43 Örnsköldsvik","0660-559 00","https://www.1177.se/hitta-vard/kontaktkort/Premicare-Gullanget-Halsocentral-Ornskoldsvik/","vardcentral"
"Hälsocentralen Ramsele","Läkarvägen 16, Ramsele","0623-74 42 13","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Ramsele/","vardcentral"
"Hälsocentralen Ånge","Bankgatan 1","0690-156 60","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Ange/","vardcentral"
"Hälsocentralen Junsele","Forumvägen 4, 880 37  Junsele","0621-720 60","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Junsele/","vardcentral"
"Stuguns hälsocentral","Hansåkervägen 2, 844 51 Stugun","0695-76 10 65","https://www.1177.se/hitta-vard/kontaktkort/Stuguns-halsocentral/","vardcentral"
"Premicare barnavårdscentral Bergsjö hälsocentral","Bållebergsvägen 5, 829 50 Bergsjö","070-481 93 60","https://www.1177.se/hitta-vard/kontaktkort/Premicare-barnavardscentral-Bergsjo-halsocentral/","vardcentral"
"Premicare Bergsjö hälsocentral","Bållebergsvägen 5, 829 50 Bergsjö","0652-56 48 00","https://www.1177.se/hitta-vard/kontaktkort/Premicare-Bergsjo-halsocentral/","vardcentral"
"Bräcke hälsocentral","Norrlandsgatan 19, 843 31 Bräcke","0693-166 10","https://www.1177.se/hitta-vard/kontaktkort/Bracke-halsocentral/","vardcentral"
"Harmångers hälsocentral","Backvägen 3, 829 95 Harmånger","0652-365 00","https://www.1177.se/hitta-vard/kontaktkort/Harmangers-halsocentral/","vardcentral"
"Hälsocentralen Husum","Bruksvägen 187 D","0663-199 20","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Husum/","vardcentral"
"Backe hälsocentral","Lasarettsvägen 20, 883 72 Backe","0624-51 20 60","https://www.1177.se/hitta-vard/kontaktkort/Backe-halsocentral/","vardcentral"
"Barnavårdscentral Delsbo Din hälsocentral","Björkgatan 3, 824 70 Delsbo","0653-71 40 05","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Delsbo-Din-halsocentral/","vardcentral"
"Delsbo - Friggesund Din hälsocentral","Björkgatan 3, 824 70 Delsbo","0653-71 40 00","https://www.1177.se/hitta-vard/kontaktkort/Delsbo-Friggesund-Din-halsocentral/","vardcentral"
"Hudiksvall Din hälsocentral","Kålhagsgatan 20, 824 52 Hudiksvall","0650-920 08","https://www.1177.se/hitta-vard/kontaktkort/Hudiksvall-Din-halsocentral/","vardcentral"
"Barnavårdscentral Hudiksvall Din hälsocentral","Kålhagsgatan 20, 824 52 Hudiksvall","0650-59 30 10","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Hudiksvall-Din-halsocentral/","vardcentral"
"Familjeläkarjour Hudiksvall","Kungsgatan 33, 824 43 Hudiksvall","1177","https://www.1177.se/hitta-vard/kontaktkort/Familjelakarjour-Hudiksvall/","vardcentral"
"Premicare Varvet Hälsocentral","Varvsgatan 13, 824 50 Hudiksvall","0650-365 00","https://www.1177.se/hitta-vard/kontaktkort/Premicare-Varvet-Halsocentral/","vardcentral"
"Håstaholmens hälsocentral","Håstaholmen 3, 824 42 Hudiksvall","0650-178 00","https://www.1177.se/hitta-vard/kontaktkort/Hastaholmens-halsocentral/","vardcentral"
"Brunflo hälsocentral","Gränsvägen 20, 834 31 Brunflo","063-14 20 17","https://www.1177.se/hitta-vard/kontaktkort/Brunflo-halsocentral/","vardcentral"
"Familjeläkarjour Ljusdal","Vårdslingan 16, 827 35 Ljusdal","1177","https://www.1177.se/hitta-vard/kontaktkort/Familjelakarjour-Ljusdal/","vardcentral"
"Barnavårdscentral Ljusdal - Ramsjö Din hälsocentral","Lasarettsgatan 1 C, 827 35 Ljusdal","0651-171 23","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Ljusdal-Ramsjo-Din-halsocentral/","vardcentral"
"Nordmalings hälsocentral","Hemvägen 12, 914 31 Nordmaling","090-785 91 04","https://www.1177.se/hitta-vard/kontaktkort/Nordmalings-halsocentral/","vardcentral"
"Barnavårdscentral Iggesund Din hälsocentral","Skolgatan 1, 825 31 Iggesund","0650-59 30 10","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Iggesund-Din-halsocentral/","vardcentral"
"Iggesund Din hälsocentral","Skolgatan 1, 825 31 Iggesund","0650-928 00","https://www.1177.se/hitta-vard/kontaktkort/Iggesund-Din-halsocentral/","vardcentral"
"Torvalla hälsocentral, Östersund","Nävervägen 17, 831 72 Östersund","063-14 22 88","https://www.1177.se/hitta-vard/kontaktkort/Torvalla-halsocentral-Ostersund/","vardcentral"
"Lits hälsocentral","Sörevägen 8, 836 31 Lit","0642-447 47","https://www.1177.se/hitta-vard/kontaktkort/Lits-halsocentral/","vardcentral"
"Odensala hälsocentral, Östersund","Klövervägen 2, 831 65 Östersund","063-14 22 00","https://www.1177.se/hitta-vard/kontaktkort/Odensala-halsocentral-Ostersund/","vardcentral"
"Järvsö Din hälsocentral","Stationsgatan 19, 827 51 Järvsö","0651-172 30","https://www.1177.se/hitta-vard/kontaktkort/Jarvso-Din-halsocentral/","vardcentral"
"Barnavårdscentral Järvsö Din hälsocentral","Stationsgatan 19, 827 51 Järvsö","0651-172 30","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Jarvso-Din-halsocentral/","vardcentral"
"Barnavårdscentral Färila - Los Din hälsocentral","Annbacksvägen 14, 827 60 Färila","0651-170 54","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Farila-Los-Din-halsocentral/","vardcentral"
"Färila - Los Din hälsocentral","Annbacksvägen 14, 827 60 Färila","0651-170 10","https://www.1177.se/hitta-vard/kontaktkort/Farila-Los-Din-halsocentral/","vardcentral"
"Hälsocentralen Ripan, Östersund","Prästgatan 47, 831 34 Östersund","063-663 10 00","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Ripan-Ostersund/","vardcentral"
"Zätagränds hälsocentral, Östersund","Zätagränd 3, 831 30 Östersund","063-14 21 60","https://www.1177.se/hitta-vard/kontaktkort/Zatagrands-halsocentral-Ostersund/","vardcentral"
"Strömsunds hälsocentral","Lövbergavägen 37, 833 33 Strömsund","0670-166 00","https://www.1177.se/hitta-vard/kontaktkort/Stromsunds-halsocentral/","vardcentral"
"Lugnviks hälsocentral, Östersund","Midvägen 4, 831 51 Östersund","063-14 22 75","https://www.1177.se/hitta-vard/kontaktkort/Lugnviks-halsocentral-Ostersund/","vardcentral"
"Frösö hälsocentral","Önevägen 8, 832 23 Frösön","063-14 23 00","https://www.1177.se/hitta-vard/kontaktkort/Froso-halsocentral/","vardcentral"
"Barnmorskemottagning Åsele hälsocentral","Bryggaregatan 11 A, 919 32 Åsele","090-785 91 76","https://www.1177.se/hitta-vard/kontaktkort/Barnmorskemottagning-Asele-halsocentral/","vardcentral"
"Åsele sjukstuga hälsocentral","Bryggaregatan 11 A, 919 32 Åsele","090-785 91 76","https://www.1177.se/hitta-vard/kontaktkort/Asele-sjukstuga-halsocentral/","vardcentral"
"Bjurholms hälsocentral","Storgatan 16, 916 31 Bjurholm","090-785 44 41","https://www.1177.se/hitta-vard/kontaktkort/Bjurholms-halsocentral/","vardcentral"
"Svenstaviks hälsocentral","Vallmovägen 6 C, 845 31 Svenstavik","0687-166 00","https://www.1177.se/hitta-vard/kontaktkort/Svenstaviks-halsocentral/","vardcentral"
"Hörnefors hälsocentral","Bruksgatan 4, 905 32 Hörnefors","090-785 91 05","https://www.1177.se/hitta-vard/kontaktkort/Hornefors-halsocentral/","vardcentral"
"Myrvikens hälsocentral","Dalsätravägen 6 A, 845 71 Oviken","0643-44 55 20","https://www.1177.se/hitta-vard/kontaktkort/Myrvikens-halsocentral/","vardcentral"
"Krokoms hälsocentral","Genvägen 5, 835 31 Krokom","0640-166 00","https://www.1177.se/hitta-vard/kontaktkort/Krokoms-halsocentral/","vardcentral"
"Dorotea sjukstuga hälsocentral","Nygatan 19, 917 31 Dorotea","090-785 91 75","https://www.1177.se/hitta-vard/kontaktkort/Dorotea-sjukstuga-halsocentral/","vardcentral"
"Barnavårdscentral Arbrå Din hälsocentral","Stationsesplanaden 10, 821 61 Arbrå","0278-388 80","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Arbra-Din-halsocentral/","vardcentral"
"Arbrå Din hälsocentral","Stationsesplanaden 10, 821 61 Arbrå","0278-388 00","https://www.1177.se/hitta-vard/kontaktkort/Arbra-Din-halsocentral/","vardcentral"
"Föllinge hälsocentral","Storgatan 12, 835 61 Föllinge","0645-71 51 30","https://www.1177.se/hitta-vard/kontaktkort/Follinge-halsocentral/","vardcentral"
"Barnmorskemottagning Vännäs hälsocentral","Umevägen 6, 911 32 Vännäs","090-785 44 50","https://www.1177.se/hitta-vard/kontaktkort/Barnmorskemottagning-Vannas-halsocentral/","vardcentral"
"Barnhälsovård Vännäs hälsocentral","Umevägen 6, 911 32 Vännäs","090-785 44 50","https://www.1177.se/hitta-vard/kontaktkort/Barnhalsovard-Vannas-halsocentral/","vardcentral"
"Vännäs hälsocentral","Umevägen 56, 911 31 Vännäs","090-785 44 50","https://www.1177.se/hitta-vard/kontaktkort/Vannas-halsocentral/","vardcentral"
"Hallens hälsocentral","Hallenvägen 41, 845 91 Hallen","0643-44 55 00","https://www.1177.se/hitta-vard/kontaktkort/Hallens-halsocentral/","vardcentral"
"Söderhamnsfjärdens hälsocentral","Norra Hamngatan 41, 826 37 Söderhamn","0270-707 00","https://www.1177.se/hitta-vard/kontaktkort/Soderhamnsfjardens-halsocentral/","vardcentral"
"Oxtorgets hälsocentral","Rustkammaregatan 1, 826 32 Söderhamn","0270-154 20","https://www.1177.se/hitta-vard/kontaktkort/Oxtorgets-halsocentral/","vardcentral"
"Familjeläkarjour Söderhamn","Trädgådsgatan, 826 81 Söderhamn","1177","https://www.1177.se/hitta-vard/kontaktkort/Familjelakarjour-Soderhamn/","vardcentral"
"Barnavårdscentral Söderhamn Din hälsocentral","Trädgårdsgatan 26, 826 32 Söderhamn","0270-777 90","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Soderhamn-Din-halsocentral/","vardcentral"
"Söderhamn Din hälsocentral","Trädgårdsgatan 36, 826 32 Söderhamn","0270-772 00","https://www.1177.se/hitta-vard/kontaktkort/Soderhamn-Din-halsocentral/","vardcentral"
"Premicare E-Center Hälsocentral","Stickvägen 2, 826 40 Söderhamn","0270-100 00","https://www.1177.se/hitta-vard/kontaktkort/Premicare-E-Center-Halsocentral/","vardcentral"
"Barnavårdscentral Bollnäs hälsocentral","Läroverksgatan 47, 821 33 Bollnäs","0278-62 22 00","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Bollnas-halsocentral/","vardcentral"
"Bollnäs hälsocentral","Sjukhusvägen 81, 821 31 Bollnäs","0278-62 22 00","https://www.1177.se/hitta-vard/kontaktkort/Bollnas-halsocentral/","vardcentral"
"Backens hälsocentral","Manusgränd 3, 901 24 Umeå","090-785 44 43","https://www.1177.se/hitta-vard/kontaktkort/Backens-halsocentral/","vardcentral"
"Holmsunds hälsocentral","Himmelska Fridens Torg 7, 913 31 Holmsund","090-785 91 03","https://www.1177.se/hitta-vard/kontaktkort/Holmsunds-halsocentral/","vardcentral"
"Tegs hälsocentral","Tegsplan 2C, 904 20 Umeå","090-785 44 56","https://www.1177.se/hitta-vard/kontaktkort/Tegs-halsocentral/","vardcentral"
"Husläkarna Hälsocentral i Umeå","Storgatan 28 B, 903 21 Umeå","090-785 93 88","https://www.1177.se/hitta-vard/kontaktkort/Huslakarna-Halsocentral-i-Umea/","vardcentral"
"Capio hälsocentral Dragonen","Ridvägen 12, 903 25 Umeå","090-785 91 48","https://www.1177.se/hitta-vard/kontaktkort/Capio-halsocentral-Dragonen/","vardcentral"
"Citymottagningen hälsocentral","Nygatan 19B, 903 27 Umeå","090-785 93 21","https://www.1177.se/hitta-vard/kontaktkort/Citymottagningen-halsocentral/","vardcentral"
